name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Estonia,,,,,,,,,,,543.1899999999998,528.72,502.06,427.51999999999987,486.47,364.64,371.68000000000006,358.2999999999999,338.24000000000007,299.45999999999987,256.43,242.63,265.05,244.57,248.67,229.07000000000005,229.26,241.61000000000004,231.92,258.91,205.38,
Fiji,,,,,,,,,,,,,,,,,54.95,110.54,16.12,90.49,52.83,30.77,20.46,47.48,51.67,,106.97,91.58,,,,
Finland,,,347.35,354.04,373.36000000000007,396.22,377.57999999999987,349.87,333.0,330.24,324.9600000000001,289.65,310.35,301.43,283.11,265.6499999999999,267.19000000000005,255.52000000000004,243.45,243.95,230.52,233.8,223.08000000000004,220.29,228.49,215.21,203.61,187.01,196.83,177.16000000000003,161.18999999999997,
France,348.9000000000001,351.7700000000001,331.0300000000001,312.72000000000014,312.5300000000001,302.73000000000013,298.1,301.47,312.69,299.94999999999993,292.61999999999995,271.22,266.33,253.65000000000003,245.83000000000004,257.23,239.94,238.64,241.31,232.51,232.09,220.63,213.69,216.21,216.24,211.17,211.18000000000004,198.98,192.33,179.56,,
Georgia,,,,,,64.42999999999999,53.05,60.47999999999999,,37.3,40.74,59.7,60.65000000000001,49.3,68.57999999999998,46.64000000000001,35.19,,,66.54,28.36,23.51,36.59000000000001,,65.05999999999999,34.33,36.31,34.88,55.57,74.48999999999998,84.68,
Germany,,,,,,259.45,258.11,250.04,235.50000000000003,230.79,233.58,216.42,210.96,200.51,189.24000000000004,185.55000000000004,185.78,183.96000000000004,181.24,172.23,161.48999999999995,152.52,146.52,145.52000000000004,145.52000000000004,152.17000000000004,152.82,148.30999999999997,153.08,153.03999999999996,150.34,
Greece,58.17,61.21,63.06,60.12,54.53,51.49,54.56999999999999,48.93000000000001,53.1,46.84,49.68,45.13000000000001,47.66,48.27,45.74,44.86,38.81000000000001,38.35,40.67,40.92,46.53,45.41,33.91,40.3,40.97000000000001,39.90000000000001,48.67999999999999,53.31999999999999,55.11,59.82000000000002,56.06,
Grenada,25.08,,,46.8,65.09,24.75,0.0,0.0,34.21,60.82,51.95,11.96,,,,,0.0,0.0,69.18,13.37,160.82000000000005,9.89,48.34,0.0,0.0,0.0,20.73,18.009999999999994,0.0,0.0,0.0,0.0
Guatemala,,42.83999999999999,57.92,47.24,35.23000000000001,34.07000000000001,33.52,38.25,31.17,25.9,34.13,30.05,26.51,37.06,36.5,27.419999999999995,30.590000000000003,40.53,37.34000000000001,29.93,32.61,41.95,40.27,54.76000000000001,57.57,35.43,34.69,41.8,40.69000000000001,45.88,44.85,
Guyana,,,,91.92000000000002,184.88,177.06000000000003,232.84,182.15,116.81,162.20000000000005,208.72000000000003,128.31,82.65000000000002,64.86,313.62,,380.76,311.93,382.54,400.0,333.9600000000001,394.60000000000014,373.75,353.61999999999995,301.7800000000001,403.07,349.52999999999986,367.98,356.38000000000005,,,
Hungary,,,,,,,575.0000000000001,570.26,539.2799999999999,535.81,493.42000000000013,482.74,470.44000000000005,436.78,483.88,464.56,408.98000000000013,382.75,372.03999999999985,369.47,352.00999999999993,312.66,327.32000000000005,331.67999999999995,310.72,321.30999999999995,299.85,305.96,266.23,244.31,257.2699999999999,241.34
Iceland,171.04999999999995,215.1,209.94,167.98000000000005,110.12,180.31000000000003,199.73,122.89,109.02,125.43999999999998,129.66,177.35000000000005,164.02000000000004,141.08999999999997,128.92,207.99,163.06,131.24,100.97,168.81000000000003,115.0,106.39,163.29000000000005,136.09,123.73000000000002,184.27,92.95,145.41000000000003,221.24,197.96,140.65,138.07
Ireland,102.15999999999998,104.88000000000002,95.42000000000002,113.24,110.56,125.68000000000002,126.53,137.87,117.15,142.82,143.84,145.54,156.15,162.17000000000004,141.22000000000003,142.36,148.97,135.82,134.76999999999998,129.42,121.11,126.46,121.77,129.55999999999997,132.63000000000002,120.3,138.57999999999998,137.66,117.40999999999998,119.68,,
Israel,112.03,130.28000000000003,133.61,124.16,170.31999999999996,122.26,139.34000000000003,130.95,137.23,149.89,127.42999999999998,110.51,126.57999999999998,100.11,102.58,108.56000000000002,108.23000000000002,93.49,97.17,98.43999999999998,102.91,80.52,73.66999999999999,87.33000000000004,80.32,99.47,87.41000000000003,83.78999999999998,74.21000000000002,71.26000000000002,65.91,
Italy,133.4,131.05,125.54,121.81,116.63999999999996,121.98,115.86999999999998,115.48,121.14,118.93,118.01000000000002,115.45000000000002,117.04000000000002,113.84000000000002,99.72,99.22,95.87,94.61,94.41999999999996,91.33,82.58999999999997,81.61000000000001,81.96000000000005,81.68999999999998,81.92999999999998,80.77000000000002,86.08,85.45,84.86,82.13000000000002,78.45,
Jamaica,9.04,0.57,7.780000000000001,4.2,0.0,1.32,0.9,,,,,,,,,1.16,2.8000000000000003,0.7,0.91,0.74,26.169999999999995,0.0,,,21.129999999999995,1.16,27.860000000000007,,,,,
Japan,300.47,323.55,295.29,284.72,263.42,246.37,234.51,240.28000000000003,224.1,228.95,228.13,228.48,237.38,306.6,298.9000000000001,278.52000000000004,267.16,265.84,279.4099999999999,266.24999999999994,266.89,262.24,268.75999999999993,265.32,266.69,255.48,252.41000000000003,233.7,231.16000000000003,218.21,206.04,
Kazakhstan,,,,,,334.11999999999995,318.66,323.53,376.49000000000007,414.68000000000006,454.67,452.84,433.7400000000002,440.52,407.73,426.05,422.49,405.89,411.70999999999987,413.86,357.80000000000007,374.73,375.63000000000017,366.94,330.07000000000005,320.81000000000006,293.76,271.02,296.67,257.09,238.02,
Kiribati,,,,,,,181.54,81.78,204.22,150.4,56.71,77.35000000000002,76.06,50.45,0.0,0.0,0.0,,,,,,,,,,,,,,,
Kuwait,11.2,8.74,11.47,,,,,,13.009999999999998,18.47,12.74,18.33,19.94,16.209999999999994,16.82,15.23,9.13,14.56,16.44,17.26,18.18,15.83,13.02,11.76,14.810000000000002,10.04,11.409999999999998,15.59,9.88,15.86,,
Kyrgyzstan,,,,,,247.07,246.59,221.42,258.79,254.31,239.77,206.53999999999996,190.85,184.94000000000003,191.44,182.63,193.3,173.11,137.86,141.32999999999996,135.48000000000002,145.99,125.89,135.96,113.28,143.2,126.89,140.66000000000003,109.84,111.79000000000002,98.37,
Latvia,,,,,,,,,,,545.6199999999999,492.0100000000001,492.57,441.84000000000015,420.41,453.2,383.49000000000007,367.76,361.63000000000005,328.38,312.06,288.9,295.75000000000006,323.68999999999994,307.7999999999999,259.34000000000003,288.75,267.67999999999995,242.19000000000003,248.81000000000003,251.47000000000008,
Lithuania,,,,,,,,,,,639.3,595.61,565.4400000000003,566.36,561.5300000000002,571.8,568.9799999999998,555.6199999999999,530.5200000000002,503.37,485.79,400.57,406.79,430.05,437.07000000000005,395.24,407.69,374.12,444.56000000000006,401.27000000000015,385.48,361.72
Luxembourg,247.39,183.05,243.24,211.50000000000003,261.32000000000005,233.34,280.83000000000004,228.37000000000003,207.96,277.24000000000007,210.08,229.25000000000009,307.6,201.25000000000003,211.99000000000004,222.64,239.82,264.14,164.36999999999995,189.54,159.07000000000005,183.79000000000005,183.89,112.31,110.95,141.16,136.52999999999997,140.18,91.48,147.88,134.39999999999998,
Macao,,,,,,,,,,171.74000000000004,,,,,,,,,,,,,,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,0.0,110.49,9.84,15.52,3.74,2.75,,14.36,0.0,,1.99,5.39,,,,,
Malta,8.76,3.61,18.87,28.61,89.96000000000002,23.75,30.340000000000003,87.13999999999999,47.540000000000006,64.69,47.02,47.43000000000001,70.67999999999998,30.63,91.76,78.05,85.29,55.28,74.94,85.82,67.94,87.21000000000002,73.84,38.67999999999999,107.12,82.10999999999999,47.49999999999999,59.87,57.22,102.07999999999996,78.26999999999998,
Mauritius,143.13,30.070000000000004,171.93999999999997,246.11,211.64000000000007,163.17999999999995,196.79,198.99,174.99000000000004,154.65,182.65,166.14,143.57,154.76999999999995,186.04,140.82000000000005,121.84,131.89999999999998,94.02,100.99,102.51,163.68,141.45,78.13,106.07,111.83,120.03999999999996,114.25,97.67,115.45,99.96999999999996,99.3
Mexico,38.17,45.74,41.42999999999999,42.22,48.25999999999999,48.85,47.69,52.07000000000001,52.0,55.92,59.09,56.33,57.07000000000002,56.84,54.88999999999999,54.89,63.3,58.36000000000001,63.0,60.75,62.22000000000001,59.22000000000001,58.01000000000001,60.83,64.14,61.00999999999999,65.52,63.43,64.99000000000001,68.37999999999998,66.57,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.39
Montenegro,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,274.4799999999999,0.0,335.53,308.0900000000001,275.93,,,,,,,
Netherlands,159.89,158.28000000000003,157.17000000000004,147.59999999999997,136.01000000000002,136.17000000000002,150.49,143.49,135.98,136.96,125.02000000000002,135.07,136.57,128.5,123.16,118.99,116.3,119.73,113.33,111.16,113.28,113.18999999999998,97.43999999999996,102.09,108.3,109.48999999999997,113.07999999999998,118.51,125.53000000000002,121.42,126.93,127.39
